date_utc	source	query_family	purpose	notes
2026-07-31	arXiv	"constrained decoding" language model	core discovery	Title and abstract screening; archival versions preferred when found.
2026-07-31	arXiv	"grammar constrained" OR "grammar-guided" generation	formal-language methods	Broad recall across parser, automata, and token-alignment methods.
2026-07-31	arXiv	"structured generation" OR "structured output" language model	systems and evaluation	Application-only uses excluded unless enforcement is load-bearing.
2026-07-31	arXiv	"distribution fidelity" constrained decoding	probabilistic methods	Included conditioning, SMC, rejection, and bias-correction work.
2026-07-31	ACL Anthology	constrained decoding; grammar; structured generation	archival metadata	Primary venue pages used where available.
2026-07-31	PMLR	constrained decoding; structured generation	archival metadata	Primary venue pages used where available.
2026-07-31	GitHub community lists	constrained decoding	candidate recall only	Lists never used as classification evidence.
2026-07-31	arXiv full text	direct retrieval of ten catalogued works	full-text coding pass	Read HTML full text and recoded ten records against all seven axes: Decode-Time Grammars, Loula et al. SMC control, FANTASE, ChopChop, ASAp, Future Validity, CFGzip, CRANE, AdapTrack, JSONSchemaBench. Full-text coverage 9 to 19 of 49.
2026-07-31	arXiv	SynCode and IterGen HTML retrieval	full-text coding pass	Both returned HTTP 404 for the /html/ rendering. IterGen was refined from its abstract only and deliberately left at metadata_verified; SynCode unchanged.
2026-07-31	arXiv full text	second full-text coding batch	full-text coding pass	Recoded seven further records from HTML full text: DCCD, DISC (unbiased constrained decoding), Formatron (Earley pruning), automata-based detokenization, GreatGramma (flexible GCD), Let Me Speak Freely, Thinking Before Constraining. Coverage 19 to 26 of 49.
2026-07-31	arXiv	SynCode, IterGen, CONFETTI HTML retrieval	full-text coding pass	All returned HTTP 404 for /html/. arXiv LaTeXML rendering exists only for submissions after December 2023, so pre-2024 records (Synchromesh, ReLM, NeuroLogic, grid beam search, dynamic beam allocation) cannot be full-text coded by this route and remain metadata_verified.
2026-07-31	GitHub list + arXiv + ACL Anthology + OpenReview	upstream set difference and current constrained-decoding queries	coverage-gap audit	Compared 49 Atlas records with 63 upstream paper links and searched current primary indexes. Found roughly 26 upstream candidates absent from the Atlas; priority gaps include Efficient Guided Generation, Lost in Space, context-sensitive grammar quotienting, Logically Constrained Decoding, NeuroLogic A*esque, CDSL, and diffusion-LLM constrained decoding. Candidates remain outside the catalog until inclusion and evidence checks are completed.
2026-07-31	arXiv PDFs + ACL Anthology + OpenReview	priority coverage-gap closure	full-text coding pass	Retrieved and checked full text for 13 priority works: Efficient Guided Generation, Lost in Space, ToolDec, context-sensitive grammar quotienting, Logically Constrained Decoding, NeuroLogic A*esque, CDSL, tractable proposals, three diffusion-LLM constraint methods, StructEval, and COLLIE. Primary venue records resolved archival status for GEM 2026, MathNLP 2025, NAACL 2022/2025, ICML 2026, NeurIPS 2025, TMLR 2026, and ICLR 2024. Catalog coverage increased from 49 to 62 and full-text-reviewed coverage from 26 to 39.
